DocDueDate,ItemCode,Cant. Consumida
2017-01-01 00:00:00,MAATGOL0002,4269
2017-01-01 00:00:00,MACIESS0002,5
2017-01-01 00:00:00,MACJGOL0010,354
2017-01-01 00:00:00,MAENGOL0012,4545
2017-01-01 00:00:00,MAETGOL0059,4478
2017-01-01 00:00:00,MPMPESS0020,1.29
2017-01-01 00:00:00,MPMPESS0161,9.45
2017-01-01 00:00:00,MPMPESS0209,340.2
2017-01-01 00:00:00,MPMPESS0316,121.67
2017-01-01 00:00:00,MPMPESS0317,0.00413
2017-01-01 00:00:00,MPMPESS0335,320.1
2017-01-02 00:00:00,MAALGOL0001,941
2017-01-02 00:00:00,MAASGOL0001,6809
2017-01-02 00:00:00,MACBGOL0001,6734
2017-01-02 00:00:00,MACIESS0002,2.9
2017-01-02 00:00:00,MACJGOL0041,111
2017-01-02 00:00:00,MAENCBQ0005,7200
2017-01-02 00:00:00,MAETCBQ0034,4201
2017-01-02 00:00:00,MAETCBQ0035,3001
2017-01-02 00:00:00,MAETESS0230,117
2017-01-02 00:00:00,MAPDGOL0002,1090
2017-01-02 00:00:00,MAPDGOL0003,872
2017-01-02 00:00:00,MAPDGOL0004,72
2017-01-02 00:00:00,MPMPCBQ0014,11.23
2017-01-02 00:00:00,MPMPCBQ0019,20.48
2017-01-02 00:00:00,MPMPESS0209,566.764
2017-01-02 00:00:00,MPMPESS0215,1.41
2017-01-02 00:00:00,MPMPESS0271,1.41
2017-01-02 00:00:00,MPSGECB0001,1371.06
2017-01-03 00:00:00,MACJESS0061,595
2017-01-03 00:00:00,MACJESS0063,1060
2017-01-03 00:00:00,MAENESS0044,25662
2017-01-03 00:00:00,MAENESS0046,51180
2017-01-03 00:00:00,MAGPESS0001,12750.272
2017-01-03 00:00:00,MAPGESS0002,8.721520000000003
2017-01-03 00:00:00,MAPIESS0002,51172
2017-01-03 00:00:00,MAPIESS0003,10202
2017-01-03 00:00:00,MAPIESS0005,15303
2017-01-03 00:00:00,MAVAESS0036,76627
2017-01-03 00:00:00,MPMPESS0120,31.85
2017-01-03 00:00:00,MPMPESS0121,56.650000000000006
2017-01-03 00:00:00,MPMPESS0204,4.895999999999999
2017-01-03 00:00:00,MPMPESS0215,85.63999999999999
2017-01-03 00:00:00,MPMPESS0271,85.63999999999999
2017-01-03 00:00:00,MPMPESS0288,163.2
2017-01-03 00:00:00,MPMPESS0290,244.77999999999994
2017-01-03 00:00:00,MPMPESS0316,23483.987999999994
2017-01-03 00:00:00,MPMPESS0329,326.4099999999999
2017-01-03 00:00:00,MPMPESS0335,6845.3
2017-01-03 00:00:00,PTALGOL0001,35650
2017-01-03 00:00:00,PTALGOL0002,35506
2017-01-03 00:00:00,PTALGOL0003,34288
2017-01-03 00:00:00,PTALGOL0004,38000
2017-01-03 00:00:00,PTALGOL0005,38000
2017-01-03 00:00:00,PTALGOL0006,38000
2017-01-03 00:00:00,PTALGOL0007,100740
2017-01-03 00:00:00,PTALGOL0008,104460
2017-01-03 00:00:00,PTALGOL0009,104436
2017-01-03 00:00:00,PTALGOL0010,12184
2017-01-03 00:00:00,PTALGOL0011,12311
2017-01-03 00:00:00,PTALGOL0012,11968
2017-01-04 00:00:00,MACIESS0002,134
2017-01-04 00:00:00,MACJESS0061,68
2017-01-04 00:00:00,MACJESS0063,299
2017-01-04 00:00:00,MACJESS0112,286
2017-01-04 00:00:00,MACJESS0116,1094
2017-01-04 00:00:00,MACJESS0117,1106
2017-01-04 00:00:00,MACJESS0129,4471
2017-01-04 00:00:00,MACJESS0130,3180
2017-01-04 00:00:00,MAENCBQ0008,20042
2017-01-04 00:00:00,MAENESS0031,53808
2017-01-04 00:00:00,MAENESS0044,2688
2017-01-04 00:00:00,MAENESS0046,14359
2017-01-04 00:00:00,MAENESS0090,19842
2017-01-04 00:00:00,MAENESS0091,26408
2017-01-04 00:00:00,MAENESS0092,6531
2017-01-04 00:00:00,MAENESS0102,38203
2017-01-04 00:00:00,MAETESS0262,12417
2017-01-04 00:00:00,MAETESS0263,13528
2017-01-04 00:00:00,MAETESS0264,6555
2017-01-04 00:00:00,MAETESS0265,6485
2017-01-04 00:00:00,MAETESS0266,19842
2017-01-04 00:00:00,MAETESS0267,19842
2017-01-04 00:00:00,MAETESS0268,12207
2017-01-04 00:00:00,MAETESS0269,12523
2017-01-04 00:00:00,MAETESS0278,33712
2017-01-04 00:00:00,MAETESS0279,20334
2017-01-04 00:00:00,MAETESS0281,38203
2017-01-04 00:00:00,MAGPESS0001,5059
2017-01-04 00:00:00,MAPGESS0002,4.17476
2017-01-04 00:00:00,MAPIESS0002,20969
2017-01-04 00:00:00,MAPIESS0003,5453
2017-01-04 00:00:00,MAPIESS0005,10835
2017-01-04 00:00:00,MATPESS0053,46397
2017-01-04 00:00:00,MATPESS0054,6667
2017-01-04 00:00:00,MATPESS0065,71826
2017-01-04 00:00:00,MATPESS0068,20072
2017-01-04 00:00:00,MAVAESS0034,20043
2017-01-04 00:00:00,MAVAESS0036,17085
2017-01-04 00:00:00,MAVAESS0039,53811
2017-01-04 00:00:00,MAVAESS0040,38206
2017-01-04 00:00:00,MPMPCBQ0025,7
2017-01-04 00:00:00,MPMPESS0020,97.93
2017-01-04 00:00:00,MPMPESS0120,3.24
2017-01-04 00:00:00,MPMPESS0121,16.68
2017-01-04 00:00:00,MPMPESS0170,9.75
2017-01-04 00:00:00,MPMPESS0204,1.4649999999999999
2017-01-04 00:00:00,MPMPESS0209,4415.78
2017-01-04 00:00:00,MPMPESS0211,28.7
2017-01-04 00:00:00,MPMPESS0212,153.72
2017-01-04 00:00:00,MPMPESS0215,25.637500000000003
2017-01-04 00:00:00,MPMPESS0263,2.44011
2017-01-04 00:00:00,MPMPESS0271,52.807500000000005
2017-01-04 00:00:00,MPMPESS0273,1.65
2017-01-04 00:00:00,MPMPESS0288,14.72
2017-01-04 00:00:00,MPMPESS0290,73.28
2017-01-04 00:00:00,MPMPESS0298,128.81
2017-01-04 00:00:00,MPMPESS0316,19845.947750000003
2017-01-04 00:00:00,MPMPESS0329,131.78
2017-01-04 00:00:00,MPMPESS0332,610.6999999999999
2017-01-04 00:00:00,MPMPESS0333,39.150000000000006
2017-01-04 00:00:00,MPMPESS0334,108.5
2017-01-04 00:00:00,MPMPESS0335,25318.7
2017-01-05 00:00:00,MACIESS0002,32
2017-01-05 00:00:00,MACJESS0116,275
2017-01-05 00:00:00,MACJESS0129,1627
2017-01-05 00:00:00,MACJESS0130,502
2017-01-05 00:00:00,MAENESS0031,19538
2017-01-05 00:00:00,MAENESS0090,6601
2017-01-05 00:00:00,MAENESS0102,6069
2017-01-05 00:00:00,MAETESS0260,6601
2017-01-05 00:00:00,MAETESS0261,6601
2017-01-05 00:00:00,MAETESS0278,14451
2017-01-05 00:00:00,MAETESS0280,5096
2017-01-05 00:00:00,MAETESS0282,6194
2017-01-05 00:00:00,MATPESS0053,6610
2017-01-05 00:00:00,MATPESS0065,14169
2017-01-05 00:00:00,MATPESS0068,6008
2017-01-05 00:00:00,MATPESS0080,4935
2017-01-05 00:00:00,MAVAESS0039,19390
2017-01-05 00:00:00,MAVAESS0040,6018
2017-01-05 00:00:00,MPMPESS0020,31.299999999999997
2017-01-05 00:00:00,MPMPESS0170,1.654
2017-01-05 00:00:00,MPMPESS0209,795.4913
2017-01-05 00:00:00,MPMPESS0211,4.6312
2017-01-05 00:00:00,MPMPESS0212,24.81
2017-01-05 00:00:00,MPMPESS0263,0.4135
2017-01-05 00:00:00,MPMPESS0271,9
2017-01-05 00:00:00,MPMPESS0298,51.940000000000005
2017-01-05 00:00:00,MPMPESS0316,4536.739
2017-01-05 00:00:00,MPMPESS0332,210.77999999999997
2017-01-05 00:00:00,MPMPESS0333,13.66
2017-01-05 00:00:00,MPMPESS0334,38.32
2017-01-06 00:00:00,MACIESS0002,13
2017-01-06 00:00:00,MACJESS0130,908
2017-01-06 00:00:00,MAENESS0102,11013
2017-01-06 00:00:00,MAETESS0282,6185
2017-01-06 00:00:00,MAETESS0283,5170
2017-01-06 00:00:00,MATPESS0068,5997
2017-01-06 00:00:00,MATPESS0080,4891
2017-01-06 00:00:00,MAVAESS0040,10899
2017-01-06 00:00:00,MPMPESS0020,5.77
2017-01-06 00:00:00,MPMPESS0271,3.15
2017-01-06 00:00:00,MPMPESS0298,15.65
2017-01-06 00:00:00,MPMPESS0316,1449.81
2017-01-06 00:00:00,MPMPESS0332,70.32
2017-01-06 00:00:00,MPMPESS0333,5.48
2017-01-06 00:00:00,MPMPESS0334,12.5
2017-01-07 00:00:00,MACJESS0112,143
2017-01-07 00:00:00,MAENCBQ0008,10033
2017-01-07 00:00:00,MAGPESS0001,1143
2017-01-07 00:00:00,MAPGESS0002,1.14
2017-01-07 00:00:00,MAPIESS0002,10023
2017-01-07 00:00:00,MAVAESS0034,10033
2017-01-07 00:00:00,MPMPCBQ0025,3.5
2017-01-07 00:00:00,MPMPESS0204,0.2
2017-01-07 00:00:00,MPMPESS0215,3.5
2017-01-07 00:00:00,MPMPESS0271,3.5
2017-01-07 00:00:00,MPMPESS0290,10
2017-01-07 00:00:00,MPMPESS0316,959.295
2017-01-07 00:00:00,MPMPESS0329,20
2017-01-07 00:00:00,MPMPESS0335,110
2017-01-08 00:00:00,MACJESS0112,472
2017-01-08 00:00:00,MAENCBQ0008,33389
2017-01-08 00:00:00,MAGPESS0001,3772
2017-01-08 00:00:00,MAPGESS0002,3.7619999999999996
2017-01-08 00:00:00,MAPIESS0002,33204
