DocDueDate;ItemCode;Cant. Consumida
7/2/2017 0:00;MATLESS0088;120,4
22/2/2017 0:00;MATLESS0088;177,99
23/2/2017 0:00;MATLESS0088;220,76
17/3/2017 0:00;MATLESS0088;122,76
27/3/2017 0:00;MATLESS0088;212,3
4/4/2017 0:00;MATLESS0088;197
5/4/2017 0:00;MATLESS0088;219,5
11/4/2017 0:00;MATLESS0088;32,3
12/5/2017 0:00;MATLESS0088;132,8
1/6/2017 0:00;MATLESS0088;342
8/6/2017 0:00;MATLESS0088;81
16/6/2017 0:00;MATLESS0088;39
23/6/2017 0:00;MATLESS0088;222
26/6/2017 0:00;MATLESS0088;44
17/7/2017 0:00;MATLESS0088;138
18/7/2017 0:00;MATLESS0088;817,5
20/7/2017 0:00;MATLESS0088;120
7/8/2017 0:00;MATLESS0088;293,02
31/8/2017 0:00;MATLESS0088;758,6
1/9/2017 0:00;MATLESS0088;318,5
4/9/2017 0:00;MATLESS0088;170,5
26/9/2017 0:00;MATLESS0088;192,2
13/10/2017 0:00;MATLESS0088;193,2
23/10/2017 0:00;MATLESS0088;116,1
6/11/2017 0:00;MATLESS0088;72
13/11/2017 0:00;MATLESS0088;59
23/11/2017 0:00;MATLESS0088;50,2
4/12/2017 0:00;MATLESS0088;344,3
13/12/2017 0:00;MATLESS0088;2
16/1/2018 0:00;MATLESS0088;77,1
17/1/2018 0:00;MATLESS0088;367,6
29/1/2018 0:00;MATLESS0088;173,17
30/1/2018 0:00;MATLESS0088;254,58
31/1/2018 0:00;MATLESS0088;146
7/2/2018 0:00;MATLESS0088;236,85
23/2/2018 0:00;MATLESS0088;94,4
27/2/2018 0:00;MATLESS0088;204
15/3/2018 0:00;MATLESS0088;117,25
16/3/2018 0:00;MATLESS0088;295,37
6/4/2018 0:00;MATLESS0088;204,5
11/4/2018 0:00;MATLESS0088;125,33
25/4/2018 0:00;MATLESS0088;97,35
15/5/2018 0:00;MATLESS0088;346,7
16/5/2018 0:00;MATLESS0088;76,6
17/5/2018 0:00;MATLESS0088;412,85
28/5/2018 0:00;MATLESS0088;98,65
29/5/2018 0:00;MATLESS0088;75,15
8/6/2018 0:00;MATLESS0088;130
20/6/2018 0:00;MATLESS0088;293,95
16/7/2018 0:00;MATLESS0088;258,45
17/7/2018 0:00;MATLESS0088;42,6
26/7/2018 0:00;MATLESS0088;294
2/8/2018 0:00;MATLESS0088;787,1
6/8/2018 0:00;MATLESS0088;261,06
7/8/2018 0:00;MATLESS0088;142,74
28/8/2018 0:00;MATLESS0088;188,5
30/8/2018 0:00;MATLESS0088;206,8
19/9/2018 0:00;MATLESS0088;516,15
20/9/2018 0:00;MATLESS0088;117,5
26/9/2018 0:00;MATLESS0088;197
15/10/2018 0:00;MATLESS0088;172
21/10/2018 0:00;MATLESS0088;525,96
27/10/2018 0:00;MATLESS0088;118,3
5/11/2018 0:00;MATLESS0088;128,16
8/11/2018 0:00;MATLESS0088;76,4
23/11/2018 0:00;MATLESS0088;200,5
26/11/2018 0:00;MATLESS0088;118,15
11/12/2018 0:00;MATLESS0088;209,7
19/12/2018 0:00;MATLESS0088;197,5
23/3/2017 0:00;MATLESS0093;532,27
24/3/2017 0:00;MATLESS0093;224,99
24/4/2017 0:00;MATLESS0093;269
10/5/2017 0:00;MATLESS0093;497
11/5/2017 0:00;MATLESS0093;114
17/5/2017 0:00;MATLESS0093;245
18/5/2017 0:00;MATLESS0093;307
22/5/2017 0:00;MATLESS0093;557
23/5/2017 0:00;MATLESS0093;65
25/5/2017 0:00;MATLESS0093;754,8
30/5/2017 0:00;MATLESS0093;567
2/6/2017 0:00;MATLESS0093;370
5/6/2017 0:00;MATLESS0093;386,58
6/6/2017 0:00;MATLESS0093;807
7/6/2017 0:00;MATLESS0093;386,5
8/6/2017 0:00;MATLESS0093;415,26
9/6/2017 0:00;MATLESS0093;494
19/6/2017 0:00;MATLESS0093;371
28/6/2017 0:00;MATLESS0093;186,5
6/7/2017 0:00;MATLESS0093;371
7/7/2017 0:00;MATLESS0093;236,5
12/7/2017 0:00;MATLESS0093;302,36
13/7/2017 0:00;MATLESS0093;348,8
17/7/2017 0:00;MATLESS0093;238
21/7/2017 0:00;MATLESS0093;35
24/7/2017 0:00;MATLESS0093;1059,5
25/7/2017 0:00;MATLESS0093;438,1
26/7/2017 0:00;MATLESS0093;221,2
27/7/2017 0:00;MATLESS0093;912,67
